C000530,14
B000367,33
A000149,15
C000535,33
A000064,22
A000607,64
A000304,30
A000162,37
A000192,38
A000021,47
B000395,8
A000152,22
A000032,20
L000601,24
A000308,25
C000517,11
C000559,29
A000197,27
D000394,6
A000172,37
K000458,13
C000528,11
K000212,10
A000196,23
B000410,25
B000420,14
B000408,20
A000033,15
A000295,40
A000324,34
A000297,43
L000259,16
A000047,29
K000219,11
A000321,36
A000308,25
L000251,21
A000152,22
A000157,30
A000298,47
C000533,12
A000162,39
C000560,9
K000580,5
A000157,30
A000186,23
A000190,37
A000154,12
A000024,17
A000296,31
B000404,13
A000300,26
B000081,27
A000012,36
A000040,18
A000333,28
A000316,49
A000140,16
C000557,25
A000049,24
B000085,22
A000079,28
B000082,10
K000576,18
A000187,30
A000016,30
K000454,5
A000301,35
D000394,6
A000185,34
B000506,13
L000252,25
A000316,50
A000298,48
C000543,14
K000233,24
B000095,8
A000076,22
A000325,21
A000181,23
K000432,9
A000149,16
A000033,16
A000056,13
A000049,24
B000473,25
K000241,5
A000002,26
B000421,10
K000246,11
A000280,27
C000524,22
L000273,23
A000305,27
B000408,21
A000159,29
K000210,14
C000531,18
B000101,2
B000471,24
K000206,9
K000425,22
A000059,17
D000127,3
C000553,42
A000337,35
C000114,14
A000188,38
A000166,35
C000116,2
B000396,23
A000062,33
A000329,33
A000308,26
B000491,15
C000524,23
A000317,24
A000332,26
A000315,41
A000191,42
A000049,25
A000293,29
A000289,24
K000578,10
A000303,28
A000014,31
A000188,38
C000521,26
A000070,18
C000549,35
A000300,28
L000271,24
L000255,23
K000239,12
A000318,41
A000608,55
B000497,45
A000066,24
A000302,19
K000429,12
A000067,19
A000079,29
A000078,36
A000304,33
B000417,3
B000474,22
B000511,23
A000312,34
A000177,26
A000289,24
K000233,24
M000605,31
A000294,41
B000416,25
C000562,16
C000115,70
B000483,15
A000020,22
K000437,13
B000491,15
A000060,24
A000055,17
C000558,25
B000480,21
K000214,7
A000191,42
B000490,16
A000072,26
C000120,14
A000032,23
B000492,38
B000364,17
K000596,11
A000059,17
B000405,17
K000453,17
D000128,20
D000388,7
C000542,23
A000021,52
L000275,19
A000138,38
A000165,19
A000333,29
B000408,20
A000135,36
A000045,28
A000301,36
C000538,30
M000467,22
B000408,20
L000268,13
D000391,5
C000515,29
A000184,31
A000176,18
A000028,28
A000015,36
A000286,19
A000150,43
