B000417,3
B000416,24
B000413,27
B000410,24
B000408,19
B000409,13
B000406,9
B000407,9
B000404,13
B000405,14
B000402,16
B000403,14
B000400,16
B000401,15
B000512,8
B000513,15
B000511,20
B000509,9
B000508,7
B000506,13
B000503,14
B000502,26
B000500,21
C000120,13
A000291,21
A000292,23
A000051,20
A000293,29
A000172,36
A000173,53
A000294,38
A000053,34
A000174,37
A000295,40
A000043,30
A000285,14
A000286,18
A000165,18
A000287,26
A000045,25
A000166,34
A000046,33
A000167,22
A000288,18
A000168,17
A000289,22
A000047,30
A000169,16
A000048,23
A000049,23
A000180,18
A000060,23
A000181,22
A000061,13
A000183,32
A000062,33
A000063,19
A000184,29
A000185,33
A000064,19
A000175,25
A000296,32
A000176,17
A000055,16
A000297,42
A000177,23
A000056,13
A000298,46
A000057,21
A000299,32
A000178,27
A000179,43
A000059,16
K000429,12
A000190,36
A000070,16
A000191,37
A000071,15
A000192,37
A000193,35
A000072,24
K000425,21
A000073,17
A000194,36
A000195,32
A000075,19
A000196,23
L000276,15
L000275,19
L000277,13
L000272,12
L000271,23
L000274,5
L000273,23
A000065,13
A000186,22
A000066,21
A000187,29
A000067,16
A000188,34
A000068,14
A000189,38
A000069,16
A000080,30
K000436,9
K000437,11
L000269,33
L000268,12
L000265,22
L000267,13
L000261,17
L000260,18
L000263,15
K000432,9
A000076,21
A000197,25
A000077,26
K000433,6
A000198,51
A000199,37
A000078,33
K000431,18
A000079,27
K000449,13
K000569,9
K000447,19
K000568,19
K000206,9
K000445,7
K000567,4
K000204,5
L000259,15
L000254,19
L000253,11
L000255,21
L000250,15
L000252,23
L000251,20
K000565,3
K000564,8
K000202,11
K000441,17
K000442,15
K000219,11
K000458,12
K000456,12
K000214,6
K000578,9
K000457,8
M000464,10
M000463,25
L000249,13
L000248,12
M000467,19
M000466,21
K000454,5
K000576,17
K000212,9
K000455,9
K000575,15
K000574,11
K000210,14
K000453,16
K000572,7
K000571,7
K000451,8
K000570,9
K000228,11
K000588,15
K000223,15
K000221,17
K000461,10
K000583,4
K000582,5
K000220,17
K000581,5
K000580,5
K000239,11
K000598,6
K000234,10
K000597,8
K000596,10
K000233,22
K000594,8
K000592,10
K000591,9
K000247,17
C000516,16
C000515,27
C000518,12
C000517,11
C000514,30
A000328,29
A000329,33
C000519,13
K000246,11
A000320,37
A000200,18
A000321,36
A000322,27
K000241,5
A000324,35
K000240,9
A000325,21
B000095,8
B000096,6
B000093,5
A000337,35
A000330,12
A000331,38
A000332,23
A000333,28
A000334,28
A000335,33
B000087,11
A000336,41
B000085,21
B000082,9
D000389,7
B000083,15
B000081,27
D000384,8
D000383,9
D000382,5
D000388,6
D000391,5
D000394,6
D000392,8
D000128,18
D000127,3
D000129,3
D000121,5
A000007,22
A000008,30
A000009,20
A000001,22
A000002,24
A000004,12
A000005,28
A000006,13
A000140,16
A000141,34
A000020,20
D000373,11
D000377,4
D000375,12
D000374,5
A000139,39
A000019,19
A000010,22
A000131,27
A000132,35
A000011,27
A000012,35
A000134,28
A000135,30
A000014,27
A000136,47
A000015,36
A000137,33
A000016,30
A000017,14
A000138,36
A000150,40
A000030,16
A000152,21
A000142,24
A000021,45
A000022,44
A000143,25
B000398,12
B000399,17
A000145,24
A000024,18
A000025,31
B000396,21
A000147,27
A000148,16
A000028,25
B000395,8
A000149,15
A000280,27
A000281,34
A000161,15
A000282,28
A000040,17
A000041,16
A000162,36
A000163,18
A000042,22
A000284,11
M000604,45
M000603,22
M000602,14
A000153,24
A000032,22
A000154,12
A000033,16
A000034,26
A000155,30
A000156,9
A000035,14
M000605,28
A000278,24
A000036,34
A000157,30
A000158,31
A000279,36
A000159,29
A000039,21
C000112,8
C000114,13
C000113,8
C000116,2
C000115,44
C000118,13
C000117,4
A000607,64
A000608,50
B000499,14
B000497,40
B000498,25
B000496,22
B000494,42
B000491,14
B000371,12
B000492,36
B000490,14
L000601,24
B000367,22
B000489,19
B000366,11
B000363,13
B000484,18
B000485,8
B000364,15
B000483,14
B000480,20
B000481,7
B000359,22
B000477,16
B000478,17
B000354,9
B000475,14
B000355,10
B000110,17
B000473,25
B000353,10
B000474,19
B000471,23
B000472,15
C000563,23
B000470,14
C000562,14
C000560,9
B000109,3
B000349,2
B000345,9
B000101,2
B000341,8
B000342,4
C000552,25
C000554,22
C000553,38
C000550,33
C000559,26
C000556,9
C000555,11
C000558,21
C000557,26
C000540,14
C000543,14
C000542,19
C000549,30
C000548,20
C000545,8
C000544,13
C000547,24
C000546,15
C000530,14
C000532,10
C000531,18
C000538,27
C000537,19
C000539,5
C000534,39
C000533,10
C000536,17
C000535,30
A000304,31
A000305,26
A000306,18
A000307,18
A000308,23
A000309,39
A000300,26
A000301,33
A000302,18
A000303,26
C000521,25
C000520,11
C000527,26
C000526,30
C000529,9
C000528,10
C000523,28
C000522,15
C000525,32
C000524,22
A000315,41
A000316,49
A000317,23
A000318,38
A000319,36
B000422,9
B000420,14
A000310,9
B000421,10
A000311,24
A000312,29
A000313,40
A000314,45
